dataset,configuration,questions,supporting_qa_recall,complete_chain_recovery,EM,F1,mean_latency_ms,mean_evidence_count
2wiki,beam_1,20,0.25,0.1,0.15,0.15,37.76737364987639,1.25
2wiki,beam_3,20,0.4125,0.2,0.2,0.2333333333333333,51.83166560000245,3.3
2wiki,bm25,20,0.4,0.05,0.4,0.42857142857142855,66.22802399979264,5.8
2wiki,default,20,0.4875,0.25,0.3,0.3,70.47887704966342,4.65
2wiki,dense,20,0.5,0.2,0.25,0.2865079365079365,29.54362759974174,4.8
2wiki,k_5,20,0.4875,0.25,0.3,0.3,59.53398965011729,4.65
2wiki,last_hop,20,0.4875,0.25,0.35,0.35,59.65034219998415,4.8
2wiki,parent_threshold_off,10,0.325,0.1,0.3,0.3,63.27582990015799,3.9
2wiki,rrf,20,0.475,0.2,0.2,0.25833333333333336,95.94125604999135,4.45
2wiki,unique_off,20,0.4625,0.2,0.25,0.25,61.023548650246084,4.55
musique,beam_1,20,0.12916666666666665,0.0,0.05,0.07857142857142858,51.64226060014698,1.2
musique,beam_3,20,0.32916666666666666,0.1,0.15,0.19523809523809524,100.76530125006684,3.0
musique,bm25,20,0.2958333333333333,0.0,0.2,0.25357142857142856,140.98882150019563,5.3
musique,default,20,0.37916666666666665,0.15,0.15,0.17857142857142858,109.00279389998104,4.15
musique,dense,20,0.47916666666666663,0.35,0.4,0.5119047619047619,48.778398250124155,4.65
musique,k_5,20,0.37916666666666665,0.15,0.15,0.17857142857142858,107.34591484997509,4.15
musique,last_hop,20,0.4125,0.1,0.25,0.2952380952380952,389.4077999998444,4.55
musique,rrf,20,0.4708333333333334,0.3,0.45,0.5285714285714286,191.1392418500327,4.2
musique,unique_off,20,0.37916666666666665,0.15,0.15,0.17857142857142858,109.50052284988487,4.0
